generation,condition,mean_fitness,std_fitness,median_fitness,max_fitness,min_fitness,n_alive_at_end,mean_birth_weight_norm,mean_death_weight_norm,mean_weight_delta_frobenius
0,EVO_ONLY,1.7919492997318685,1.0400475938659706,2.369816846145941,2.978499545605853,0.15846209431416347,85,11.294180857340494,11.294180857340494,0.0
0,LEARN_ONLY,1.6805824824620907,1.0490042265706143,2.0626778706824362,2.9771827952691354,0.1872521104070454,71,11.277992000579834,10.93124584197998,6.678450895746549
0,EVO_LEARN,1.4535191945070498,1.0589264711281026,0.7430726870255253,2.966429834103584,0.18027027455031028,58,11.282018737792969,10.860725351969402,6.160002618034681
0,BASELINE,0.594207891636454,0.12457278811598851,0.6037853100113083,0.7678651718242231,0.14587423312165362,0,11.339641571044922,11.339641571044922,0.0
1,EVO_ONLY,2.406912066011263,0.7149295620202438,2.7128529697538726,2.970490973956674,0.2941116428375244,115,11.252592391967774,11.252592391967774,0.0
1,LEARN_ONLY,1.499303784441583,1.0542277433042917,0.7440054086022312,2.96839616023053,0.22247944686656929,59,11.266416912078858,10.856128718058269,6.430524769425392
1,EVO_LEARN,2.434633696092348,0.7419429217428298,2.75908645012451,2.9657555051957227,0.2498556590707137,121,11.338964646657308,11.075251541137696,9.127660586436589
1,BASELINE,0.5608478035724054,0.11594165523875716,0.5286536574503415,0.7717377430665566,0.20123868646131504,0,11.339641571044922,11.339641571044922,0.0
2,EVO_ONLY,2.6135226023673845,0.4381668959705234,2.729704739411548,2.9596605185703253,0.5878435643589116,134,11.210199673970541,11.210199673970541,0.0
2,LEARN_ONLY,1.5543163079244733,1.0659188801450523,0.7676221354217089,2.955721851932471,0.28571524472145193,63,11.242262007395427,10.87396935780843,6.30208333114783
2,EVO_LEARN,2.562528525151046,0.53499151975809,2.766575508190571,2.97126745098442,0.28303341865539555,129,11.328013032277426,11.121087385813395,9.744848588717481
2,BASELINE,0.5678129092840365,0.11326753840705485,0.5404111692908593,0.7649651134750698,0.29540398921285355,0,11.339641571044922,11.339641571044922,0.0
3,EVO_ONLY,2.5226397674851584,0.5847149548285714,2.720482163569698,2.9636691115755607,0.3157054634392261,130,11.269097474416098,11.269097474416098,0.0
3,LEARN_ONLY,1.6003788608405223,1.044011532073132,1.8053023708800764,2.9629265872668116,0.17473459925583523,67,11.220816370646158,10.961325906117757,6.731965404699246
3,EVO_LEARN,2.57075110367076,0.5319125696934278,2.7541426401906177,2.9723634275945807,0.30159494876861576,132,11.289527810414633,11.150546487172445,10.165636771122614
3,BASELINE,0.5612627135563207,0.12590545931545497,0.5220730991932419,0.9320387773497836,0.18906268261452883,0,11.339641571044922,11.339641571044922,0.0
4,EVO_ONLY,2.5949611862357425,0.5308063083422446,2.7608503180464123,2.9655115712550066,0.3775731095888963,130,11.398373565673829,11.398373565673829,0.0
4,LEARN_ONLY,1.374999987706416,1.0363401605655798,0.7179558344550909,2.9686888832863416,0.1872521104070454,53,11.284483369191488,10.864701913197836,5.886677121122678
4,EVO_LEARN,2.637567931590228,0.49805265884092453,2.825466457078927,2.9705806306049465,0.29916513611872986,134,11.425178438822428,11.185319735209147,9.764655807813009
4,BASELINE,0.5478172571477149,0.10644558681399187,0.49877549429205237,0.7588152926759273,0.2106705743565563,0,11.339641571044922,11.339641571044922,0.0
