generation,condition,mean_fitness,std_fitness,median_fitness,max_fitness,min_fitness,n_alive_at_end,mean_birth_weight_norm,mean_death_weight_norm,mean_weight_delta_frobenius,mean_eta,std_eta,min_eta,max_eta,eta_fit_corr,mean_eta_top10,mean_eta_bot10,eta_top_bot_gap
0,EVO_ONLY,1.5439870544187217,1.0412538368750743,1.0941469750699202,2.9631462078273296,0.2775894319651522,72,11.205413506825765,11.205413506825765,0.0,0.04970080797870954,0.0018417080581555425,0.04292963445186615,0.054774731397628784,-0.00904262900066766,0.049257688721021015,0.049604962269465126,-0.0003472735484441117
0,LEARN_ONLY,1.6026817751120328,1.0514250276624901,1.4413036110482684,2.9602642554998395,0.26034333790640696,72,11.263803958892822,10.96121088663737,7.266528282960256,0.05001938206454118,0.0017710920914929408,0.0458073765039444,0.05462326109409332,0.10615740155886226,0.05024706795811653,0.049742233008146286,0.000504834949970244
0,EVO_LEARN,1.4586998205851998,1.0202255128261122,0.7507602340928473,2.961905151439236,0.2671638927933487,63,11.281623102823893,10.954739424387613,6.970674201945464,0.05026848296324412,0.0019525756366939372,0.04473615437746048,0.05442885309457779,0.19884474106674072,0.05048143739501635,0.04957896222670873,0.0009024751683076176
0,BASELINE,0.5233932236928585,0.09284658742746194,0.4949999999999995,0.7676927545974487,0.24508067282067095,0,10.526885032653809,10.526885032653809,0.0,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0
1,EVO_ONLY,2.58655495506496,0.6565967929364834,2.81186944494471,2.977053387403488,0.21859542877025284,137,11.214207986195882,11.214207986195882,0.0,0.04951898525158564,0.00230782512282566,0.042919132858514786,0.054774872958660126,-0.003979588976813317,0.04965048705538114,0.04971285462379456,-6.236756841342117e-05
1,LEARN_ONLY,1.612449697360606,1.0898630004109906,1.0279954214492648,2.9778924766778947,0.20216561304223424,72,11.315959148406982,10.98066198348999,7.051994837522507,0.05007857183615367,0.0017754893557931418,0.04611917957663536,0.05402453988790512,0.0981743684738747,0.05045955926179886,0.050051253537336984,0.0004083057244618771
1,EVO_LEARN,2.493838864366791,0.7137884100010253,2.7723061349455347,2.9754935223677017,0.3125452286408138,130,11.344995282491048,11.171514898935953,9.700226993958156,0.050689550961057345,0.0017071277354891688,0.04479255527257919,0.05372818559408188,-0.01177015803900941,0.050114899625380835,0.050703738381465274,-0.0005888387560844394
1,BASELINE,0.5270095032049479,0.10468226237127397,0.4949999999999995,0.7675817158541177,0.221704759775338,0,10.526885032653809,10.526885032653809,0.0,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0,0.05155733600258827,0.05155733600258827,0.0
2,EVO_ONLY,2.6003372874845248,0.5426316710718859,2.8024829584258146,2.977178327560425,0.47468161732247005,128,11.13625701268514,11.13625701268514,0.0,0.04968102549513181,0.0024160404920805707,0.04554038494825363,0.05477629601955414,-0.005854801987449636,0.049444040407737096,0.049609331289927165,-0.0001652908821900695
2,LEARN_ONLY,1.6395743393946054,1.0039447583808263,1.9049684857879075,2.9704630982637408,0.29234135270118716,72,11.252053877512614,10.936401983896891,7.149174309770266,0.050077762852112455,0.0017823023127986428,0.04540237784385681,0.05504715442657471,0.10054891480367091,0.05011633361379306,0.0492374894519647,0.0008788441618283599
2,EVO_LEARN,2.5780596727338656,0.5731428393090755,2.8357542892355982,2.9768353694677354,0.501298895811141,131,11.488847961425781,11.235291029612224,10.741036779880524,0.05045184733966986,0.0015105112675185654,0.04750867187976837,0.05377468094229698,0.052493707048776324,0.050664440045754114,0.05006510193149249,0.0005993381142616258
